"10:20:45.122 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.5%"
"10:28:30.108 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.5%"
"10:28:35.138 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.1%"
"10:28:40.113 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.2%"
"10:28:45.134 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.3%"
"10:28:50.109 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.3%"
"10:28:55.130 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.3%"
"10:29:00.121 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.4%"
"10:29:05.142 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.3%"
"10:29:10.126 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.3%"
"10:29:15.133 -> Soil: 84.0% | Temp: 31.2°C | Hum: 74.3%"
"10:29:20.144 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.3%"
"10:29:25.115 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.5%"
"10:29:30.104 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.4%"
"10:29:35.149 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.4%"
"10:29:40.136 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.3%"
"10:29:45.130 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.2%"
"10:29:50.125 -> Soil: 84.0% | Temp: 31.2°C | Hum: 74.2%"
"10:29:55.109 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.2%"
"10:30:00.143 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.2%"
"10:30:05.132 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.1%"
"10:30:10.145 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.3%"
"10:30:15.129 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.3%"
"10:30:20.113 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.2%"
"10:30:25.115 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.1%"
"10:30:30.118 -> Soil: 83.0% | Temp: 31.3°C | Hum: 73.9%"
"10:30:35.125 -> Soil: 84.0% | Temp: 31.2°C | Hum: 74.0%"
"10:30:40.129 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.1%"
"10:30:45.129 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.1%"
"10:30:50.128 -> Soil: 84.0% | Temp: 31.2°C | Hum: 74.2%"
"10:30:55.123 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.2%"
"10:31:00.122 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.3%"
"10:31:05.104 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.1%"
"10:31:10.144 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.1%"
"10:31:15.126 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.1%"
"10:31:20.126 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.1%"
"10:31:25.136 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.3%"
"10:31:30.113 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.2%"
"10:31:35.136 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.2%"
"10:31:40.141 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.5%"
"10:31:45.113 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.3%"
"10:31:50.130 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.3%"
"10:31:55.126 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.3%"
"10:32:00.146 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.3%"
"10:32:05.112 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.3%"
"10:32:10.131 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.3%"
"10:32:15.108 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.4%"
"10:32:20.126 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.4%"
"10:32:25.138 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.3%"
"10:32:30.119 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.3%"
"10:32:35.136 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.3%"
"10:32:40.143 -> Soil: 85.0% | Temp: 31.3°C | Hum: 74.3%"
"10:32:45.111 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.4%"
"10:32:50.103 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.4%"
"10:32:55.123 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.3%"
"10:33:00.101 -> Soil: 85.0% | Temp: 31.3°C | Hum: 74.3%"
"10:33:05.126 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.4%"
"10:33:10.113 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.4%"
"10:33:15.135 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.4%"
"10:33:20.114 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.5%"
"10:33:25.097 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.1%"
"10:33:30.121 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.5%"
"10:33:35.098 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.3%"
"10:33:40.120 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.3%"
"10:33:45.115 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.3%"
"10:33:50.133 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.3%"
"10:33:55.103 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.4%"
"10:34:00.123 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.1%"
"10:34:05.105 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.2%"
"10:34:10.128 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.2%"
"10:34:15.102 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.2%"
"10:34:20.121 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.1%"
"10:34:25.142 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.2%"
"10:34:30.124 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.3%"
"10:34:35.096 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.0%"
"10:34:40.135 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.1%"
"10:34:45.114 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.2%"
"10:34:50.098 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.1%"
"10:34:55.119 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.2%"
"10:35:00.130 -> Soil: 85.0% | Temp: 31.3°C | Hum: 74.0%"
"10:35:05.097 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.9%"
"10:35:10.121 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.8%"
"10:35:15.099 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.8%"
"10:35:20.117 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.8%"
"10:35:25.125 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.7%"
"10:35:30.097 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.7%"
"10:35:35.118 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.9%"
"10:35:40.137 -> Soil: 86.0% | Temp: 31.3°C | Hum: 73.8%"
"10:35:45.104 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.6%"
"10:35:50.122 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.9%"
"10:35:55.138 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.8%"
"10:36:00.111 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.7%"
"10:36:05.129 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.7%"
"10:36:10.136 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.9%"
"10:36:15.110 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.8%"
"10:36:20.126 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.6%"
"10:36:25.135 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.6%"
"10:36:30.114 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.7%"
"10:36:35.100 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.8%"
"10:36:40.122 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.5%"
"10:36:45.138 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.7%"
"10:36:50.123 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.8%"
"10:36:55.098 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.4%"
"10:37:00.116 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.7%"
"10:37:05.099 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.9%"
"10:37:10.135 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.7%"
"10:37:15.134 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.6%"
"10:37:20.096 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.7%"
"10:37:25.118 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.9%"
"10:37:30.103 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.9%"
"10:37:35.104 -> Soil: 84.0% | Temp: 31.3°C | Hum: 73.7%"
"10:37:40.090 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.6%"
"10:37:45.126 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.7%"
"10:37:50.117 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.6%"
"10:37:55.104 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.6%"
"10:38:00.096 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.7%"
"10:38:05.133 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.6%"
"10:38:10.127 -> Soil: 85.0% | Temp: 31.4°C | Hum: 73.6%"
"10:38:15.112 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.8%"
"10:38:20.099 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.6%"
"10:38:25.091 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.5%"
"10:38:30.176 -> Soil: 84.0% | Temp: 25.0°C | Hum: 60.0%"
"10:38:35.115 -> Soil: 84.0% | Temp: 31.4°C | Hum: 73.5%"
"10:38:40.102 -> Soil: 84.0% | Temp: 31.3°C | Hum: 73.6%"
"10:38:45.094 -> Soil: 85.0% | Temp: 31.3°C | Hum: 73.4%"
"10:38:50.115 -> Soil: 85.0% | Temp: 31.4°C | Hum: 73.8%"
"10:38:55.133 -> Soil: 84.0% | Temp: 31.3°C | Hum: 73.7%"
"10:39:00.095 -> Soil: 84.0% | Temp: 31.4°C | Hum: 73.5%"
"10:39:05.109 -> Soil: 85.0% | Temp: 31.4°C | Hum: 73.7%"
"10:39:10.089 -> Soil: 84.0% | Temp: 31.3°C | Hum: 73.7%"
"10:39:15.106 -> Soil: 85.0% | Temp: 31.4°C | Hum: 73.7%"
"10:39:20.096 -> Soil: 84.0% | Temp: 31.4°C | Hum: 73.6%"
"10:39:25.127 -> Soil: 84.0% | Temp: 31.4°C | Hum: 73.6%"
"10:39:30.104 -> Soil: 84.0% | Temp: 31.3°C | Hum: 73.6%"
"10:39:35.127 -> Soil: 84.0% | Temp: 31.4°C | Hum: 73.7%"
"10:39:40.106 -> Soil: 84.0% | Temp: 31.3°C | Hum: 73.4%"
"10:39:45.127 -> Soil: 84.0% | Temp: 31.3°C | Hum: 73.5%"
"10:39:55.608 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.8%"
"10:40:00.088 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.9%"
"10:40:05.113 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.8%"
"10:40:10.107 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.8%"
"10:40:15.129 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.8%"
"10:40:20.098 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.6%"
"10:40:25.088 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.8%"
"10:40:30.124 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.8%"
"10:40:35.108 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.7%"
"10:40:40.106 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.4%"
"10:40:45.106 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.7%"
"10:40:50.093 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.8%"
"10:40:55.132 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.8%"
"10:41:00.122 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.7%"
"10:41:05.108 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.7%"
"10:41:10.106 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.6%"
"10:41:15.104 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.7%"
"10:41:20.125 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.7%"
"10:41:25.117 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.8%"
"10:41:30.104 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.9%"
"10:41:35.099 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.6%"
"10:41:40.091 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.9%"
"10:41:45.109 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.9%"
"10:41:50.111 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.9%"
"10:41:55.090 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.8%"
"10:42:00.114 -> Soil: 91.0% | Temp: 31.4°C | Hum: 73.8%"
"10:42:05.094 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.9%"
"10:42:10.126 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.8%"
"10:42:15.100 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.8%"
"10:42:20.129 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.7%"
"10:42:25.104 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.7%"
"10:42:30.126 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.8%"
"10:42:35.105 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.4%"
"10:42:40.123 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.7%"
"10:42:45.108 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.7%"
"10:42:50.128 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.5%"
"10:42:55.111 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.5%"
"10:43:00.083 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.5%"
"10:43:05.110 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.4%"
"10:43:10.100 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.1%"
"10:43:15.113 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.3%"
"10:43:20.115 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.3%"
"10:43:25.128 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.1%"
"10:43:30.107 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.3%"
"10:43:35.084 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.4%"
"10:43:40.099 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.6%"
"10:43:45.101 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.5%"
"10:43:50.108 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.4%"
"10:43:55.116 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.3%"
"10:44:00.126 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.1%"
"10:44:05.094 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.2%"
"10:44:10.087 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.1%"
"10:44:15.108 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.1%"
"10:44:20.116 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.3%"
"10:44:25.123 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.2%"
"10:44:30.097 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.3%"
"10:44:35.098 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.3%"
"10:44:40.101 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.2%"
"10:44:45.107 -> Soil: 91.0% | Temp: 31.4°C | Hum: 73.2%"
"10:44:50.116 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.2%"
"10:44:55.113 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.2%"
"10:45:00.114 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.1%"
"10:45:05.102 -> Soil: 90.0% | Temp: 31.3°C | Hum: 73.2%"
"10:45:10.095 -> Soil: 91.0% | Temp: 31.4°C | Hum: 73.3%"
"10:45:15.093 -> Soil: 89.0% | Temp: 31.3°C | Hum: 73.3%"
"10:45:20.093 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.3%"
"10:45:25.096 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.1%"
"10:45:30.093 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.2%"
"10:45:35.088 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.2%"
"10:45:40.086 -> Soil: 89.0% | Temp: 31.4°C | Hum: 73.5%"
"10:45:45.084 -> Soil: 89.0% | Temp: 31.4°C | Hum: 73.3%"
"10:45:50.081 -> Soil: 89.0% | Temp: 31.4°C | Hum: 72.9%"
"10:45:55.083 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.0%"
"10:46:00.086 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.1%"
"10:46:05.090 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.0%"
"10:46:10.094 -> Soil: 90.0% | Temp: 31.4°C | Hum: 72.9%"
"10:46:15.090 -> Soil: 89.0% | Temp: 31.4°C | Hum: 73.1%"
"10:46:20.099 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.1%"
"10:46:25.105 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.3%"
"10:46:30.102 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.2%"
"10:46:35.095 -> Soil: 89.0% | Temp: 31.4°C | Hum: 73.1%"
"10:46:40.085 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.3%"
"10:46:45.080 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.2%"
"10:46:50.084 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.1%"
"10:46:55.081 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.3%"
"10:47:00.087 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.2%"
"10:47:05.086 -> Soil: 90.0% | Temp: 31.4°C | Hum: 72.8%"
"10:47:10.086 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.0%"
"10:47:15.098 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.0%"
"10:47:20.103 -> Soil: 89.0% | Temp: 31.4°C | Hum: 73.0%"
"10:47:25.107 -> Soil: 90.0% | Temp: 31.4°C | Hum: 72.9%"
"10:47:30.109 -> Soil: 90.0% | Temp: 31.4°C | Hum: 72.8%"
"10:47:35.080 -> Soil: 90.0% | Temp: 31.4°C | Hum: 72.9%"
"10:47:40.078 -> Soil: 90.0% | Temp: 31.4°C | Hum: 72.7%"
"10:47:45.075 -> Soil: 90.0% | Temp: 31.4°C | Hum: 73.0%"
